5U4Y,PDN11,PDN12,PDN13,PDN14,PDN15,PDN16,PDN17,PDN18,PDN19,PDN20,PDN21,PDN22,PDN23,PDN24
-111.89745,-2.738086382,-1.74914,-97.56896494,3.394893244,-92.50159,-21.61380384,-1.48593,-5.138960803,-85.81545,-113.8906707,-95.68118915,-107.0027554,-111.9364147,-105.445632
-1.38588,2.528150318,-2.55394,-100.947385,1.163353736,-84.85191,-25.36388141,-13.32817,-7.033955091,0.35388,-102.1395698,-89.84760786,-109.0755912,-99.90282864,-101.3272187
2.83384,-1.627378577,0.81789,-86.61463948,-3.735522201,-94.67298,-18.81291975,-4.68727,-3.933889058,-88.79055,-97.12599644,-90.67198911,-112.1892297,-104.8866193,-100.7104058
6.28258,-87.66936944,0.17319,2.687202768,4.548964385,-94.61698,-22.90842775,-4.68636,-103.8472739,-88.16325,-92.5455161,-96.71928984,-112.2983956,-2.299221419,-112.424096
-2.65678,-100.2616453,-4.10518,1.637191342,3.764712193,-80.54854,-87.40655157,-3.54189,-110.6129382,-87.34579,-105.8006472,-102.9588203,-104.4127505,-1.961441112,-107.6868715
-5.34519,-101.1785718,-7.9086,-88.8459613,0.489028166,-86.71662,-94.55166617,-96.1594,-102.1000538,-86.60708,-102.8602108,1.006539987,-125.3192969,-4.114998183,-117.415101
-119.26845,-97.39903864,-95.12962,-85.83781058,1.813012173,-81.25259,-92.28762357,-96.85691,-105.8351898,-96.1152,-96.43362033,-0.444797726,-7.377450428,-3.025255692,-5.734893597
-122.13621,-96.42456396,-90.79609,-93.85428238,0.404722901,-87.69085,-87.13824768,-98.42349,-119.5240019,-97.54851,-110.1144119,-0.201751998,-3.001606265,-8.147284844,-7.414834634
-122.98612,-104.3866115,-100.58655,-102.3800821,-0.727455931,-94.96836,-87.48686914,-97.35415,-101.7118402,-93.48331,-109.6540226,-2.266115672,-0.60975138,-96.46910394,-2.600031652
-102.68836,-102.8398789,-100.83423,-101.7039519,-1.004932273,-92.50472,-93.26414813,-95.58478,-116.898367,-86.91968,-4.342972708,-3.62569014,-1.099703706,-106.4508335,-5.770754921
-96.90148,-85.58222123,-12.80014,-84.95142962,-2.690106951,-85.62869,-84.37598771,-80.48202,-108.035113,-81.01515,-1.545023736,-2.441019884,-1.464677459,-99.57264114,-114.3597089
-104.71164,-110.6357567,-9.13434,-96.4494544,-0.758676612,-80.05934,-83.33298449,-100.86712,-103.3053302,-98.52572,3.305419984,-95.28879776,0.86891674,-100.7558846,-108.0737315
